shelf_id,item_category,item_weight,shelf_weight,item_visibility,initial_stock,current_stock,time_stamp
FRA15,Frozen Foods,1000,195000.0,0.134975628,274.0,274.0,2025-08-14 20:01:59
MEY66,Meat,300,36900.0,0.15616879,182.0,182.0,2025-08-14 20:01:59
BAI65,Baking Goods,500,71500.0,0.133700752,211.0,211.0,2025-08-14 20:01:59
BAS31,Baking Goods,1000,120000.0,0.115119905,167.0,167.0,2025-08-14 20:01:59
FRS71,Frozen Foods,1500,84000.0,0.110030997,71.0,71.0,2025-08-14 20:01:59
CAT42,Canned,800,91200.0,0.101561568,132.0,132.0,2025-08-14 20:01:59
SEX93,Seafood,300,28500.0,0.13956116,127.0,127.0,2025-08-14 20:01:59
FVI38,Fruits and Vegetables,200,13400.0,0.126035694,75.0,75.0,2025-08-14 20:01:59
HOS83,Household,1500,285000.0,0.099325278,269.0,269.0,2025-08-14 20:01:59
HOI66,Household,500,28500.0,0.113748685,65.0,65.0,2025-08-14 20:01:59
FVK77,Fruits and Vegetables,200,24600.0,0.128937661,153.0,153.0,2025-08-14 20:01:59
FVH49,Fruits and Vegetables,200,38800.0,0.165694678,261.0,261.0,2025-08-14 20:01:59
FRG38,Frozen Foods,400,60400.0,0.148392623,219.0,219.0,2025-08-14 20:01:59
CAA38,Canned,400,51200.0,0.098438394,159.0,159.0,2025-08-14 20:01:59
HHA31,Health and Hygiene,100,12800.0,0.143303291,148.0,148.0,2025-08-14 20:01:59
BAL47,Baking Goods,250,42500.0,0.175103435,205.0,205.0,2025-08-14 20:01:59
DAU23,Dairy,200,22400.0,0.119418124,162.0,162.0,2025-08-14 20:01:59
FVK56,Fruits and Vegetables,200,17800.0,0.10550944,119.0,119.0,2025-08-14 20:01:59
HOE65,Household,750,99750.0,0.186032678,153.0,153.0,2025-08-14 20:01:59
FVC91,Fruits and Vegetables,500,32000.0,0.193772568,79.0,79.0,2025-08-14 20:01:59
HOX50,Household,500,74000.0,0.099729888,171.0,171.0,2025-08-14 20:01:59
HOA39,Household,750,137250.0,0.119721451,238.0,238.0,2025-08-14 20:01:59
BAH18,Baking Goods,1000,170000.0,0.11679292,218.0,218.0,2025-08-14 20:01:59
FVP95,Fruits and Vegetables,500,56000.0,0.104704537,147.0,147.0,2025-08-14 20:01:59
BRK80,Breads,800,148000.0,0.147023834,257.0,257.0,2025-08-14 20:01:59
SDM72,Soft Drinks,330,58410.0,0.159657596,243.0,243.0,2025-08-14 20:01:59
HDV96,Hard Drinks,500,80500.0,0.141398626,182.0,182.0,2025-08-14 20:01:59
FVI48,Fruits and Vegetables,300,48000.0,0.148821808,201.0,201.0,2025-08-14 20:01:59
FVE74,Fruits and Vegetables,1000,81000.0,0.096715523,116.0,116.0,2025-08-14 20:01:59
SFF25,Snack Foods,50,4700.0,0.123428594,115.0,115.0,2025-08-14 20:01:59
FVD90,Fruits and Vegetables,500,85500.0,0.173154079,239.0,239.0,2025-08-14 20:01:59
FRQ05,Frozen Foods,1500,196500.0,0.139735226,146.0,146.0,2025-08-14 20:01:59
BAY52,Baking Goods,500,31000.0,0.12848269,79.0,79.0,2025-08-14 20:01:59
BAW13,Baking Goods,1000,63000.0,0.094697274,90.0,90.0,2025-08-14 20:01:59
FRE91,Frozen Foods,400,47600.0,0.2047,178.0,178.0,2025-08-14 20:01:59
BKU48,Breakfast,300,33300.0,0.095102092,130.0,130.0,2025-08-14 20:01:59
SDB60,Soft Drinks,1500,253500.0,0.107765165,216.0,216.0,2025-08-14 20:01:59
FVM42,Fruits and Vegetables,500,69000.0,0.182514881,167.0,167.0,2025-08-14 20:01:59
SFG96,Snack Foods,75,3750.0,0.112271498,73.0,73.0,2025-08-14 20:01:59
DAO41,Dairy,500,87500.0,0.153741385,206.0,206.0,2025-08-14 20:01:59
FVU49,Fruits and Vegetables,500,40500.0,0.127929521,92.0,92.0,2025-08-14 20:01:59
FVU25,Fruits and Vegetables,300,57000.0,0.123159656,227.0,227.0,2025-08-14 20:01:59
FVJ16,Fruits and Vegetables,1000,81000.0,0.160707489,109.0,109.0,2025-08-14 20:01:59
FVK25,Fruits and Vegetables,300,31500.0,0.102920886,146.0,146.0,2025-08-14 20:01:59
FRL48,Frozen Foods,400,56000.0,0.159936948,203.0,203.0,2025-08-14 20:01:59
FVP37,Fruits and Vegetables,200,10600.0,0.129503146,77.0,77.0,2025-08-14 20:01:59
FVK79,Fruits and Vegetables,1000,72000.0,0.142688846,81.0,81.0,2025-08-14 20:01:59
DAW11,Dairy,200,15600.0,0.179484411,112.0,112.0,2025-08-14 20:01:59
FVY77,Fruits and Vegetables,1000,147000.0,0.105761491,191.0,191.0,2025-08-14 20:01:59
HOA16,Household,1000,198000.0,0.160663021,222.0,222.0,2025-08-14 20:01:59
DAD73,Dairy,500,39500.0,0.178975721,111.0,111.0,2025-08-14 20:01:59
FVB16,Fruits and Vegetables,300,41700.0,0.142978223,165.0,165.0,2025-08-14 20:01:59
BAV24,Baking Goods,250,49250.0,0.143592939,291.0,291.0,2025-08-14 20:01:59
SFD95,Snack Foods,30,5790.0,0.15717236,221.0,221.0,2025-08-14 20:01:59
MEN31,Meat,1000,116000.0,0.264124669,128.0,128.0,2025-08-14 20:01:59
HOD89,Household,1000,150000.0,0.164196823,173.0,173.0,2025-08-14 20:01:59
SFN87,Snack Foods,100,10700.0,0.141975462,151.0,151.0,2025-08-14 20:01:59
CAM33,Canned,800,59200.0,0.154120252,100.0,100.0,2025-08-14 20:01:59
HOB89,Household,1500,108000.0,0.103422709,90.0,90.0,2025-08-14 20:01:59
CAP53,Canned,800,142400.0,0.102723919,230.0,230.0,2025-08-14 20:01:59
FRW71,Frozen Foods,600,87600.0,0.127541722,204.0,204.0,2025-08-14 20:01:59
HOB57,Household,500,96000.0,0.119513002,234.0,234.0,2025-08-14 20:01:59
CAZ03,Canned,800,141600.0,0.115194717,208.0,208.0,2025-08-14 20:01:59
FVE60,Fruits and Vegetables,1000,130000.0,0.103195401,153.0,153.0,2025-08-14 20:01:59
DAN72,Dairy,1000,53000.0,0.13121032,60.0,60.0,2025-08-14 20:01:59
FRB85,Frozen Foods,500,92000.0,0.192650072,251.0,251.0,2025-08-14 20:01:59
HHB75,Health and Hygiene,250,23750.0,0.098031771,134.0,134.0,2025-08-14 20:01:59
FVM99,Fruits and Vegetables,500,29000.0,0.100277876,69.0,69.0,2025-08-14 20:01:59
FRJ25,Frozen Foods,400,32800.0,0.099252438,121.0,121.0,2025-08-14 20:01:59
DAQ40,Dairy,200,26600.0,0.228993134,188.0,188.0,2025-08-14 20:01:59
BKH88,Breakfast,300,54300.0,0.149404057,208.0,208.0,2025-08-14 20:01:59
FVN23,Fruits and Vegetables,300,34200.0,0.161817014,162.0,162.0,2025-08-14 20:01:59
DAS95,Dairy,500,77500.0,0.297883712,171.0,171.0,2025-08-14 20:01:59
HOV74,Household,1500,124500.0,0.124967595,107.0,107.0,2025-08-14 20:01:59
HOS35,Household,750,100500.0,0.160178832,161.0,161.0,2025-08-14 20:01:59
FVQ47,Fruits and Vegetables,500,68500.0,0.104035148,179.0,179.0,2025-08-14 20:01:59
CAT54,Canned,800,148800.0,0.233039817,254.0,254.0,2025-08-14 20:01:59
DAE39,Dairy,500,33000.0,0.17824575,81.0,81.0,2025-08-14 20:01:59
FRT11,Frozen Foods,1500,297000.0,0.140241213,280.0,280.0,2025-08-14 20:01:59
BAF41,Baking Goods,250,47500.0,0.131152799,225.0,225.0,2025-08-14 20:01:59
DAF36,Dairy,1000,180000.0,0.132327406,242.0,242.0,2025-08-14 20:01:59
FVJ22,Fruits and Vegetables,300,16800.0,0.100330684,81.0,81.0,2025-08-14 20:01:59
BKR08,Breakfast,200,15000.0,0.131128467,103.0,103.0,2025-08-14 20:01:59
HDF60,Hard Drinks,1000,73000.0,0.125793938,81.0,81.0,2025-08-14 20:01:59
BKJ48,Breakfast,400,23600.0,0.131665479,88.0,88.0,2025-08-14 20:01:59
FVR80,Fruits and Vegetables,1000,62000.0,0.122475364,79.0,79.0,2025-08-14 20:01:59
SFJ40,Snack Foods,75,13050.0,0.107891398,208.0,208.0,2025-08-14 20:01:59
SFD02,Snack Foods,50,4400.0,0.128065918,104.0,104.0,2025-08-14 20:01:59
BAZ36,Baking Goods,1000,196000.0,0.121485195,273.0,273.0,2025-08-14 20:01:59
SFT39,Snack Foods,100,6800.0,0.121250374,101.0,101.0,2025-08-14 20:01:59
FRD03,Frozen Foods,500,62500.0,0.100230114,162.0,162.0,2025-08-14 20:01:59
HOV90,Household,1500,151500.0,0.167383061,145.0,145.0,2025-08-14 20:01:59
STW98,Starchy Foods,1000,169000.0,0.141106202,253.0,253.0,2025-08-14 20:01:59
STE71,Starchy Foods,400,38000.0,0.123086812,139.0,139.0,2025-08-14 20:01:59
FVV76,Fruits and Vegetables,300,59400.0,0.105646853,255.0,255.0,2025-08-14 20:01:59
SFG97,Snack Foods,30,3720.0,0.118149377,171.0,171.0,2025-08-14 20:01:59
CAR26,Canned,800,138400.0,0.134532392,206.0,206.0,2025-08-14 20:01:59
FVI58,Fruits and Vegetables,200,19400.0,0.148492521,107.0,107.0,2025-08-14 20:01:59
SDC25,Soft Drinks,1500,166500.0,0.107076832,137.0,137.0,2025-08-14 20:01:59
FVI93,Fruits and Vegetables,500,53500.0,0.128674983,144.0,144.0,2025-08-14 20:01:59
CAD37,Canned,800,53600.0,0.188322664,97.0,97.0,2025-08-14 20:01:59
DAS28,Dairy,500,78500.0,0.144017405,230.0,230.0,2025-08-14 20:01:59
SFO88,Snack Foods,30,2910.0,0.115978122,142.0,142.0,2025-08-14 20:01:59
CAB21,Canned,800,89600.0,0.18454121,167.0,167.0,2025-08-14 20:01:59
HON14,Household,1500,91500.0,0.114160573,89.0,89.0,2025-08-14 20:01:59
SDD28,Soft Drinks,1000,83000.0,0.175352413,98.0,98.0,2025-08-14 20:01:59
HOF29,Household,750,113250.0,0.167444431,212.0,212.0,2025-08-14 20:01:59
FVD77,Fruits and Vegetables,500,68000.0,0.111298111,157.0,157.0,2025-08-14 20:01:59
HOK92,Household,1500,111000.0,0.184689756,94.0,94.0,2025-08-14 20:01:59
CAI00,Canned,800,144800.0,0.104245198,213.0,213.0,2025-08-14 20:01:59
MED90,Meat,300,57000.0,0.179806961,231.0,231.0,2025-08-14 20:01:59
FRI67,Frozen Foods,500,49000.0,0.105445801,118.0,118.0,2025-08-14 20:01:59
FVL94,Fruits and Vegetables,200,25400.0,0.210375806,169.0,169.0,2025-08-14 20:01:59
CAW08,Canned,800,148000.0,0.18520944,267.0,267.0,2025-08-14 20:01:59
MEP97,Meat,500,52000.0,0.098566832,124.0,124.0,2025-08-14 20:01:59
FVY92,Fruits and Vegetables,300,20100.0,0.11084417,89.0,89.0,2025-08-14 20:01:59
SFG18,Snack Foods,75,6300.0,0.116915909,99.0,99.0,2025-08-14 20:01:59
HOR54,Household,500,28000.0,0.164864915,83.0,83.0,2025-08-14 20:01:59
HOX61,Household,750,46500.0,0.185218446,85.0,85.0,2025-08-14 20:01:59
DAW83,Dairy,200,35000.0,0.162462044,208.0,208.0,2025-08-14 20:01:59
DAD42,Dairy,1000,161000.0,0.114127418,222.0,222.0,2025-08-14 20:01:59
SEZ13,Seafood,300,35400.0,0.146895866,167.0,167.0,2025-08-14 20:01:59
CAQ39,Canned,400,59600.0,0.133673087,182.0,182.0,2025-08-14 20:01:59
MEM07,Meat,300,41700.0,0.139419417,191.0,191.0,2025-08-14 20:01:59
FVK93,Fruits and Vegetables,500,45500.0,0.165328057,135.0,135.0,2025-08-14 20:01:59
DAK20,Dairy,1000,158000.0,0.09646733,192.0,192.0,2025-08-14 20:01:59
CAN72,Canned,400,63600.0,0.141642219,216.0,216.0,2025-08-14 20:01:59
SFE86,Snack Foods,100,7500.0,0.1164455,111.0,111.0,2025-08-14 20:01:59
FVV64,Fruits and Vegetables,200,25000.0,0.121848436,151.0,151.0,2025-08-14 20:01:59
HOW11,Household,750,60750.0,0.108470504,95.0,95.0,2025-08-14 20:01:59
SFJ32,Snack Foods,75,10500.0,0.122830885,166.0,166.0,2025-08-14 20:01:59
MEH67,Meat,300,52200.0,0.133281968,229.0,229.0,2025-08-14 20:01:59
CAH36,Canned,400,70000.0,0.121149472,233.0,233.0,2025-08-14 20:01:59
FVH29,Fruits and Vegetables,200,20200.0,0.096733815,138.0,138.0,2025-08-14 20:01:59
FVX58,Fruits and Vegetables,200,39400.0,0.102607233,279.0,279.0,2025-08-14 20:01:59
SFX90,Snack Foods,30,4560.0,0.160624116,190.0,190.0,2025-08-14 20:01:59
SFO38,Snack Foods,30,4620.0,0.149669322,210.0,210.0,2025-08-14 20:01:59
SDV33,Soft Drinks,500,31500.0,0.167799329,86.0,86.0,2025-08-14 20:01:59
HOT97,Household,500,76500.0,0.167351411,203.0,203.0,2025-08-14 20:01:59
MEA24,Meat,1000,166000.0,0.150341867,240.0,240.0,2025-08-14 20:01:59
FVD23,Fruits and Vegetables,200,19400.0,0.156286566,111.0,111.0,2025-08-14 20:01:59
FRL24,Frozen Foods,1000,142000.0,0.109003832,162.0,162.0,2025-08-14 20:01:59
SDK05,Soft Drinks,500,96500.0,0.113234914,232.0,232.0,2025-08-14 20:01:59
SFT66,Snack Foods,50,7950.0,0.117537563,182.0,182.0,2025-08-14 20:01:59
BAU50,Baking Goods,1000,102000.0,0.137697119,151.0,151.0,2025-08-14 20:01:59
FVU32,Fruits and Vegetables,1000,52000.0,0.220225608,72.0,72.0,2025-08-14 20:01:59
FVO99,Fruits and Vegetables,200,23400.0,0.114916546,154.0,154.0,2025-08-14 20:01:59
DAD90,Dairy,200,36400.0,0.146973462,271.0,271.0,2025-08-14 20:01:59
CAK89,Canned,800,149600.0,0.328390948,245.0,245.0,2025-08-14 20:01:59
DAK11,Dairy,500,50500.0,0.13267058,120.0,120.0,2025-08-14 20:01:59
HOG46,Household,500,72500.0,0.110356797,202.0,202.0,2025-08-14 20:01:59
DAK23,Dairy,1000,80000.0,0.164542555,98.0,98.0,2025-08-14 20:01:59
SFS87,Snack Foods,50,5750.0,0.160292264,150.0,150.0,2025-08-14 20:01:59
CAL15,Canned,800,112000.0,0.112859454,202.0,202.0,2025-08-14 20:01:59
HOZ95,Household,1000,118000.0,0.119345629,133.0,133.0,2025-08-14 20:01:59
DAB13,Dairy,500,68000.0,0.108148913,186.0,186.0,2025-08-14 20:01:59
FVP05,Fruits and Vegetables,1000,82000.0,0.105577348,111.0,111.0,2025-08-14 20:01:59
BRO87,Breads,250,29250.0,0.129086113,139.0,139.0,2025-08-14 20:01:59
SDL51,Soft Drinks,330,45210.0,0.113125627,203.0,203.0,2025-08-14 20:01:59
MEB90,Meat,300,43200.0,0.151467821,198.0,198.0,2025-08-14 20:01:59
DAM41,Dairy,500,78500.0,0.120139206,173.0,173.0,2025-08-14 20:01:59
HOJ58,Household,1000,102000.0,0.120497266,150.0,150.0,2025-08-14 20:01:59
FVL34,Fruits and Vegetables,500,61500.0,0.122657336,154.0,154.0,2025-08-14 20:01:59
FVW54,Fruits and Vegetables,1000,98000.0,0.159587755,142.0,142.0,2025-08-14 20:01:59
DAI35,Dairy,200,32400.0,0.136810742,183.0,183.0,2025-08-14 20:01:59
FRY01,Frozen Foods,500,81500.0,0.128682722,219.0,219.0,2025-08-14 20:01:59
FVZ82,Fruits and Vegetables,500,72000.0,0.109459733,190.0,190.0,2025-08-14 20:01:59
MEB11,Meat,1000,74000.0,0.096644015,109.0,109.0,2025-08-14 20:01:59
HOG83,Household,750,135750.0,0.184843579,240.0,240.0,2025-08-14 20:01:59
FVX14,Fruits and Vegetables,300,56400.0,0.122896411,276.0,276.0,2025-08-14 20:01:59
SDY94,Soft Drinks,500,97000.0,0.161350176,228.0,228.0,2025-08-14 20:01:59
FVL01,Fruits and Vegetables,1000,157000.0,0.106968096,223.0,223.0,2025-08-14 20:01:59
SDO01,Soft Drinks,330,38940.0,0.159582185,167.0,167.0,2025-08-14 20:01:59
CAI95,Canned,400,53200.0,0.14453827,183.0,183.0,2025-08-14 20:01:59
MEP51,Meat,300,40200.0,0.172309903,174.0,174.0,2025-08-14 20:01:59
FVC71,Fruits and Vegetables,1000,168000.0,0.173516063,207.0,207.0,2025-08-14 20:01:59
BAO95,Baking Goods,500,60500.0,0.12898088,166.0,166.0,2025-08-14 20:01:59
FRG80,Frozen Foods,400,27600.0,0.13093275,99.0,99.0,2025-08-14 20:01:59
FVE99,Fruits and Vegetables,300,22800.0,0.098464979,105.0,105.0,2025-08-14 20:01:59
BRC00,Breads,500,67000.0,0.110681931,191.0,191.0,2025-08-14 20:01:59
BAD78,Baking Goods,1000,110000.0,0.112985849,160.0,160.0,2025-08-14 20:01:59
DAN04,Dairy,500,26000.0,0.11411709,72.0,72.0,2025-08-14 20:01:59
DAW98,Dairy,1000,56000.0,0.175033524,71.0,71.0,2025-08-14 20:01:59
SFY87,Snack Foods,100,5300.0,0.154627247,77.0,77.0,2025-08-14 20:01:59
HDA89,Hard Drinks,500,91000.0,0.205294827,202.0,202.0,2025-08-14 20:01:59
CAU26,Canned,400,75200.0,0.152261999,216.0,216.0,2025-08-14 20:01:59
SFS20,Snack Foods,50,8700.0,0.136275173,217.0,217.0,2025-08-14 20:01:59
SFD44,Snack Foods,50,3200.0,0.174621343,91.0,91.0,2025-08-14 20:01:59
SFG98,Snack Foods,30,1860.0,0.163350221,83.0,83.0,2025-08-14 20:01:59
BKX06,Breakfast,400,66800.0,0.105994654,245.0,245.0,2025-08-14 20:01:59
SFN06,Snack Foods,75,4200.0,0.107376743,74.0,74.0,2025-08-14 20:01:59
FVH76,Fruits and Vegetables,500,76500.0,0.118672537,205.0,205.0,2025-08-14 20:01:59
CAB11,Canned,400,22000.0,0.126897925,66.0,66.0,2025-08-14 20:01:59
SFZ46,Snack Foods,50,3950.0,0.108710162,107.0,107.0,2025-08-14 20:01:59
FVV23,Fruits and Vegetables,200,14200.0,0.15528831,80.0,80.0,2025-08-14 20:01:59
HOZ57,Household,1000,167000.0,0.108010006,197.0,197.0,2025-08-14 20:01:59
CAQ16,Canned,400,53200.0,0.104421237,154.0,154.0,2025-08-14 20:01:59
CAX56,Canned,400,72800.0,0.126359196,229.0,229.0,2025-08-14 20:01:59
FVW95,Fruits and Vegetables,200,38400.0,0.161355122,228.0,228.0,2025-08-14 20:01:59
HOI26,Household,1000,139000.0,0.118651919,197.0,197.0,2025-08-14 20:01:59
HHB71,Health and Hygiene,250,42500.0,0.112728355,251.0,251.0,2025-08-14 20:01:59
HHI10,Health and Hygiene,100,15500.0,0.156094569,214.0,214.0,2025-08-14 20:01:59
CAW45,Canned,400,47200.0,0.104933928,155.0,155.0,2025-08-14 20:01:59
CAX98,Canned,400,57600.0,0.12341737,176.0,176.0,2025-08-14 20:01:59
SFF68,Snack Foods,100,12600.0,0.139417654,181.0,181.0,2025-08-14 20:01:59
HDN73,Hard Drinks,500,25000.0,0.122058364,64.0,64.0,2025-08-14 20:01:59
SFC01,Snack Foods,50,9950.0,0.125528734,296.0,296.0,2025-08-14 20:01:59
HDV92,Hard Drinks,700,77700.0,0.162980276,131.0,131.0,2025-08-14 20:01:59
FVZ83,Fruits and Vegetables,500,33500.0,0.147663025,84.0,84.0,2025-08-14 20:01:59
SFL90,Snack Foods,75,7275.0,0.107834541,128.0,128.0,2025-08-14 20:01:59
BRI14,Breads,800,148800.0,0.146399663,238.0,238.0,2025-08-14 20:01:59
SFM48,Snack Foods,75,3750.0,0.122221269,63.0,63.0,2025-08-14 20:01:59
HDG70,Hard Drinks,700,130200.0,0.171281641,259.0,259.0,2025-08-14 20:01:59
HHF61,Health and Hygiene,100,20000.0,0.126765903,222.0,222.0,2025-08-14 20:01:59
BAG06,Baking Goods,250,39000.0,0.14061104,233.0,233.0,2025-08-14 20:01:59
STY88,Starchy Foods,1000,179000.0,0.122242847,261.0,261.0,2025-08-14 20:01:59
DAG18,Dairy,200,38200.0,0.132560174,265.0,265.0,2025-08-14 20:01:59
HOW27,Household,1500,130500.0,0.186445212,109.0,109.0,2025-08-14 20:01:59
BKT89,Breakfast,300,26700.0,0.098606543,109.0,109.0,2025-08-14 20:01:59
HOP36,Household,750,98250.0,0.125222705,192.0,192.0,2025-08-14 20:01:59
HOW45,Household,500,32500.0,0.099428487,75.0,75.0,2025-08-14 20:01:59
SFQ85,Snack Foods,30,5280.0,0.103793399,220.0,220.0,2025-08-14 20:01:59
SFN82,Snack Foods,30,4980.0,0.111419588,196.0,196.0,2025-08-14 20:01:59
BRU97,Breads,500,71000.0,0.106051405,161.0,161.0,2025-08-14 20:01:59
SFJ15,Snack Foods,75,13725.0,0.099962524,242.0,242.0,2025-08-14 20:01:59
HHL32,Health and Hygiene,500,26000.0,0.143713508,63.0,63.0,2025-08-14 20:01:59
FVI18,Fruits and Vegetables,1000,63000.0,0.099747488,73.0,73.0,2025-08-14 20:01:59
HOL57,Household,1000,115000.0,0.148938624,157.0,157.0,2025-08-14 20:01:59
CAO56,Canned,800,115200.0,0.113669629,161.0,161.0,2025-08-14 20:01:59
CAT35,Canned,400,54000.0,0.182236555,192.0,192.0,2025-08-14 20:01:59
BAG43,Baking Goods,1000,163000.0,0.176069023,201.0,201.0,2025-08-14 20:01:59
FRP15,Frozen Foods,1500,267000.0,0.105573769,234.0,234.0,2025-08-14 20:01:59
FVI84,Fruits and Vegetables,200,12800.0,0.172042892,86.0,86.0,2025-08-14 20:01:59
CAT76,Canned,400,34400.0,0.097866209,105.0,105.0,2025-08-14 20:01:59
MED73,Meat,1000,76000.0,0.156269303,109.0,109.0,2025-08-14 20:01:59
SFA07,Snack Foods,50,3050.0,0.247321039,68.0,68.0,2025-08-14 20:01:59
SFR79,Snack Foods,100,11600.0,0.11207602,132.0,132.0,2025-08-14 20:01:59
FVO57,Fruits and Vegetables,1000,79000.0,0.145631695,115.0,115.0,2025-08-14 20:01:59
SDW31,Soft Drinks,330,47850.0,0.171417316,215.0,215.0,2025-08-14 20:01:59
DAQ17,Dairy,500,92000.0,0.170795745,263.0,263.0,2025-08-14 20:01:59
FVM76,Fruits and Vegetables,200,16600.0,0.161489509,124.0,124.0,2025-08-14 20:01:59
FRE28,Frozen Foods,1500,121500.0,0.150319469,118.0,118.0,2025-08-14 20:01:59
SFX10,Snack Foods,100,16600.0,0.111613921,193.0,193.0,2025-08-14 20:01:59
SEW23,Seafood,500,44000.0,0.140524691,110.0,110.0,2025-08-14 20:01:59
HOY69,Household,500,72500.0,0.113694957,183.0,183.0,2025-08-14 20:01:59
DAH75,Dairy,500,90000.0,0.097043739,229.0,229.0,2025-08-14 20:01:59
CAP42,Canned,800,73600.0,0.102704495,110.0,110.0,2025-08-14 20:01:59
HOA70,Household,1500,195000.0,0.163910938,162.0,162.0,2025-08-14 20:01:59
